area,city,description,external_id,extra_images_count,extra_is_approved,extra_is_shop,extra_published_on,extra_publisher_name,extra_state,extra_subcategory,image,price,source,title
Montplaisir,Tunis,L’agence Century 21 Masters vous propose à la location un bureau en H+2 à Montplaisir. Détails du bureau : Superficie : 100 m² Hall d’accueil 2 bureaux Salle d’eau Kitchenette Ascenseurs Pour plus d’informations : Téléphone : +216 23 22 12 22 / +216 24 936 937 Email : cun@century.tn,68fa2a46d0d95991e1034863,8,False,True,2026-02-16T22:42:07.000Z,CENTURY 21 Masters,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/89/892d2deb-8ddf-450e-82e3-1a79b615c980,1300,tayara,À Louer – Bureau H+2 à Montplaisir
Tunis,Tunis,"L'agence Century 21 Masters vous propose à la location un bureau de 84 m² situé à l’Avenue de Paris, Tunis. Détails du bureau : Hall 2 bureaux Accueil Kitchenette Salle d’eau Pièce de rangement climatisation (split système) Atouts de l’immeuble : Ascenseur Place de parking au sous-sol Location possible vide ou meublée Pour plus d’informations ou pour organiser une visite : Tél / WhatsApp : 216 29 855 485 / 216 23 221 222 E-mail : cun@century21.tn",69183e0f145e1617cba5fe7a,5,False,True,2026-02-16T22:42:07.000Z,CENTURY 21 Masters,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/44/4446081c-3da7-4c6d-9476-4ecd169d2047,1350,tayara,"À Louer: Bureau H2 – Avenue de Paris, Tunis"
La Soukra,Ariana,"L’agence immobilière CENTURY 21 Masters vous propose une magnifique villa à La Soukra, offrant de beaux volumes et des prestations de qualité. Caractéristiques du bien : Superficie du terrain : 400 m² Superficie bâtie : 500 m² Typologie : S+6 Titre foncier individuel disponible Composition : Rez-de-chaussée – Partie jour : Salon spacieux avec balcon Deux séjours Cuisine équipée et aménagée avec séchoir Salle de douche 1er étage – Partie nuit : Trois chambres à coucher Suite parentale avec jacuzzi Salle de bain commune Sous-sol : Garage pour 3 voitures Studio indépendant avec cuisine et salle de douche Pour plus d’informations ou organiser une visite : Tél / WhatsApp : 29 855 485 / 23 221 222 E-mail : cun@century21.tn",696e15a161206a95d6936705,8,False,True,2026-02-16T22:40:34.000Z,CENTURY 21 Masters,2,60be84bd50ab95b45b08a09d,https://cdn.tayara.tn/da/daf9d49c-bf4e-4c82-989c-6124f3bd6210,1400000,tayara,À Vendre – Villa 500 m² à La Soukra
Ariana,Ariana,"L’agence immobilière Century 21 Masters vous propose à la location un bureau en Hall + 2 à Borj Baccouche Ariana. – Superficie : 75m² Composition : – Accueil – Deux bureaux – Un point d’eau – Climatisation – Ascenseur Pour plus d’informations, veuillez nous contacter sur le : Tél/WhatsApp : 53 577 299 / 23 221 222 E-mail : cun@century21.tn",6980b90cdce8e6dd78b55411,7,False,True,2026-02-16T22:40:34.000Z,CENTURY 21 Masters,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/73/73dceda1-00b5-4d3d-a6ac-f8dbceefc1b9,950,tayara,A louer un H+2 situé à Borj Baccouche 
Ariana,Ariana,"L’agence immobilière Century 21 Masters vous propose à la location un bureau en Hall + 2 à Borj Baccouche Ariana. – Superficie : 80m² – Composition : – Accueil – Deux bureaux – Un point d’eau – Climatisation – Ascenseur Pour plus d’informations, veuillez nous contacter sur le : Tél/WhatsApp : 53 577 299 / 23 221 222 E-mail : cun@century21.tn",6980b6f8dce8e6dd78b552e6,5,False,True,2026-02-16T22:40:34.000Z,CENTURY 21 Masters,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/80/80fab84e-696a-41a5-84a2-907ce5c18b0a,1200,tayara,A louer un H+2 situé à Borj Baccouche 
Ariana,Ariana,"L’agence immobilière Century 21 Masters vous propose à la location un bureau en Hall + 2 à Borj Baccouche Ariana. – Superficie : 85m² Composition : – Accueil – Deux bureaux – Un point d’eau – Climatisation – Ascenseur Pour plus d’informations, veuillez nous contacter sur le : Tél/WhatsApp : 53 577 299 / 23 221 222 E-mail : cun@century21.tn",6980b85cdce8e6dd78b553a0,4,False,True,2026-02-16T22:40:34.000Z,CENTURY 21 Masters,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/5f/5f84614b-2d8c-4c97-8757-f2f21674eb64,1150,tayara,A louer un H+2 situé à Borj Baccouche 
Ariana,Ariana,"L’agence immobilière Century 21 Masters vous propose à la location un bureau en Hall + 2 à Borj Baccouche Ariana. – Superficie : 85m² Composition : – Accueil – Deux bureaux – Un point d’eau – Climatisation – Ascenseur Pour plus d’informations, veuillez nous contacter sur le : Tél/WhatsApp : 53 577 299 / 23 221 222 E-mail : cun@century21.tn",6980b8badce8e6dd78b553dd,4,False,True,2026-02-16T22:40:34.000Z,CENTURY 21 Masters,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/fb/fbf58f28-f014-4755-a7b7-19601860c278,1150,tayara,A louer un H+2 situé à Borj Baccouche 
Mnihla,Ariana,Terrain a usage d'habitation à Mnihla d'une superficie de 1000 m². Possibilité de vendre par lot de 250 m². Prix du m² 600 dinars. Titre foncier individuel,69939ba16cd42e2d7b6eced5,1,False,False,2026-02-16T22:35:13.000Z,N B,2,60be84be50ab95b45b08a0a1,https://cdn.tayara.tn/25/2508eccd-524d-4c09-90b6-f0b26888975e,150000,tayara,Terrain 1000 m² à Mnihla
Chotrana 1,Ariana,"A vendre à chotrana 1 deux lots de terrain R+2 d'une superficie de 527 m² chacun, très bien situé proche Banque Zitouna dans un quartier résidentiel calme. Titre foncier individuel, prix du mètre carré 1050 dinars",69939b306cd42e2d7b6ece9c,1,False,False,2026-02-16T22:33:20.000Z,A G,2,60be84be50ab95b45b08a0a1,https://cdn.tayara.tn/1d/1d76f8a4-983f-477f-9a68-aab65ebee218,550000,tayara,2 lots deTerrains 527 m² à Chotrana 
Chotrana 1,Ariana,A vendre un terrains R+2 d'une superficie de 1000 m² jusqu'à 9000 m² à chotrana 1 proche Renault au prix de 300 dinars le m². Titre foncier individuel,69939b096cd42e2d7b6ece8c,1,False,False,2026-02-16T22:32:41.000Z,A.F,2,60be84be50ab95b45b08a0a1,https://cdn.tayara.tn/2b/2b52a03c-a646-4fb8-853f-ad12726aad4f,300000,tayara,Terrains 1000 m² à Chotrana 1
Tunis,Tunis,av terain à 3in l karma mournaguia 3la kayess 3000m thyb 1000 wela 2000 wela 3000 maa b3adhhoum hdheha meee w dhaw,69939b078cc6eb8dfec52b30,6,False,False,2026-02-16T22:32:39.000Z,omar,2,60be84be50ab95b45b08a0a1,https://cdn.tayara.tn/53/531b7260-3b9b-48a7-8262-08a33de4f5a0,0,tayara,terrain
Sidi Thabet,Ariana,On met a la vente un terrain de 1200 m² à Jabbes angle de 2 rue sur routes goudronnées. Façades 25 mètres sur 49 mètres. Titre foncier individuel.,69939ac48cc6eb8dfec52b03,1,False,False,2026-02-16T22:31:32.000Z,H R,2,60be84be50ab95b45b08a0a1,https://cdn.tayara.tn/82/82bc90ea-fb1f-413b-868a-677051e2be7e,300000,tayara,Terrain 1200 m² à Jabbes 
Cité Ennasr 2,Ariana,"A louer à Ennasr 2 sur l'avenue Hedi Nouira un bureau au premier étage qui se compose de 3 pièces, une cuisine, une salle d'eau et une place de parking au sous-sol.",699399856cd42e2d7b6ecdda,1,False,False,2026-02-16T22:26:13.000Z,M H,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/89/897e1c7b-4647-438b-a699-913786cae9f8,1100,tayara,Bureau H+2 à Ennasr 
Mégrine,Ben Arous,A vendre fonds de commerce d'un local proche carrefour megrine. - 150 m² dépôt - 200 m² sur 2 niveaux - 150 m² parking privé - loyer 2800 dt / mois,6993992f8cc6eb8dfec52a2f,1,False,False,2026-02-16T22:24:47.000Z,H B,2,60be84be50ab95b45b08a0a0,https://cdn.tayara.tn/07/074f8118-e3c1-4f27-b699-ef883ec7c2a6,30000,tayara,Local à Megrine Saint Gobain 
Chotrana 1,Ariana,A vendre un terrain R+2 a usage d'habitation a Chotrana 1. - Superficie 600 m² - Prix du m² 330 dinars Titre foncier,699398ed6cd42e2d7b6ecd94,1,False,False,2026-02-16T22:23:41.000Z,H R,2,60be84be50ab95b45b08a0a1,https://cdn.tayara.tn/42/42e33dfd-2cfd-4c9b-8bf7-052ec42d588d,198000,tayara,Terrain R+2 à Chotrana 1 
tunis,tunis,"Accédez à des bureaux au design remarquable, conçus pour aider les équipes de cinq personnes à prospérer. Créez et personnalisez un environnement aux proportions idéales pour une équipe de 5 employés, avec 30 m² de bureaux privés à Tunis, Le Golfe de Tunis . Nos bureaux grande taille sont entièrement équipés, accessibles 24 heures sur 24, 7 jours sur 7, et incluent un accès illimité en coworking à notre club d'affaires pendant les heures ouvrables. Et parce que nous sommes parfaitement conscients des différents revirements qu'une entreprise peut subir, nous ne vous demanderons jamais un engagement à vie : nous proposons des conditions contractuelles flexibles et adaptées à vos besoins spécifiques. Lancez votre entreprise au Kram, une ville et une commune du gouvernorat de Tunis en Tunisie et profitez d’un espace de bureau ultramoderne. Prospérez parmi d’autres avant-gardistes dans l’IQ Smart Building & Business Center, un bâtiment qui rassemble des bureaux, un hôtel d’affaires et une foule de services complémentaires en un seul endroit. Rendez-vous facilement à votre espace de travail à l’aide d’Av. Mohamed 5, l’une des avenues les plus importantes de Tunis, la capitale de la Tunisie. Accueillez les clients en visite à l’aéroport international de Tunis-Carthage, qui se trouve à environ 12 km en voiture. Que vous recherchiez une base à long ou à court terme, nous avons ce qu’il vous faut. Profitez d’un travail productif sur trois étages dans ce bâtiment innovant et lumineux. Faites du brainstorming dans des espaces de coworking flexibles ou présentez des idées mémorables à vos clients dans des salles de réunion confortables. Laissez-vous inspirer par la ruche d’activités qui vous entoure et faites une pause après les grandes réunions sur le toit-terrasse - parfait pour déjeuner ou discuter avec des collègues. Faites confiance à notre équipe amicale, qui est à votre disposition et se fera un plaisir de vous aider si vous en avez besoin tout au long de la journée de travail. Divertissez vos clients après le travail en mangeant un morceau ou visitez l’un des centres commerciaux ou un parc de la ville à proximité lorsque vous voulez vous changer les idées. Les bureaux privatifs Spaces incluent : • L'accès à notre réseau de milliers de sites à travers le monde • Une équipe de réception et d'assistance chaleureuse • L'accès à une technologie de pointe et au Wi-Fi sécurisé • Des imprimantes et une assistance administrative • Des services de nettoyage, d'entretien et de sécurité • La possibilité de réserver un bureau à l'heure, à la journée ou au mois • De fréquents évènements communautaires et de réseau • Une application spécifique qui simplifie la réservation et la gestion de votre compte • Des configurations flexibles et personnalisables • Des eSpaces de travail qui évoluent en même temps que votre entreprise • Du mobilier ergonomique de grande qualité • L'accès à 75 m² d'espace de travail partagé supplémentaire • Des tarifs à partir de 4349 Nos office spaces sont parfaits pour la productivité et l'innovation. Que vous cherchiez un workspace, un espace de bureau, ou un business centre, Spaces a la solution idéale. Les prix indiqués dans cette liste sont indicatifs et dépendent de la disponibilité. Toutes les images qui figurent ici proviennent de sites Spaces, mais ne correspondent pas nécessairement à celui dont nous parlons ici. Nous contacter Pour plus d’informations, merci de nous contacter via WhatsApp . +34644629550",693c41d4cd04d08be749e59d,10,False,True,2026-02-16T22:20:39.000Z,Regus,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/6f/6f53bfed-6e4e-4026-8f1e-1347919006fc,4349,tayara,"Un bureau au design remarquable pour 5 personnes à Tunis, Le Golfe de Tunis "
tunis,tunis,"Accédez à un espace de travail lumineux et inspirant conçu pour permettre aux équipes de cinq de travailler de manière performante. Situé dans le prestigieux quartier des Berges du Lac II, notre centre Av. De La Monnaie à Tunis offre un emplacement de choix pour les entreprises à la recherche d'un espace de travail professionnel et moderne. Avec sa position stratégique et sa gamme complète de services, ce centre est idéal pour les professionnels et les entreprises qui souhaitent étendre leur présence à Tunis. Grâce à son emplacement stratégique et à son offre de services étendue, le centre Av. De La Monnaie de Tunis est un point de départ idéal pour les entreprises qui cherchent à s'établir ou à étendre leurs activités dans la région. Que vous ayez besoin d'espace de bureau, d'environnements de coworking ou de services de bureau virtuel, ce centre offre un environnement professionnel et dynamique adapté à vos besoins d'affaires. Domiciliez votre entreprise dans un bureau privatif de 30 m² à Tunis, Av. De La Monnaie , qui convient à 5 employés. Du mobilier au Wi-Fi haut débit, tout est pris en charge dans nos grands bureaux entièrement équipés, afin que vous puissiez vous consacrer entièrement à votre activité. Louez un bureau flexible pour une seule journée ou plus longtemps, et personnalisez votre espace selon les besoins spécifiques de votre entreprise. Les bureaux privés Regus comprennent les éléments suivants : • Accès à notre réseau mondial comptant des milliers de sites dans le monde entier • Équipe d'assistance et de réception très expérimentée • Technologies et Wi-Fi de qualité et sécurisés • Imprimantes et accès à une aide administrative • Nettoyage, services et sécurité • Espace de bureau disponible à l'heure, à la journée ou au mois • Événements de réseautage et de la communauté périodiques • Gestion du compte et des réservations simplifiée via notre appli • Agencements personnalisables et flexibles • Agrandissez ou changez d'emplacement en fonction de vos besoins • Mobilier ergonomique de haute qualité • Accès supplémentaire à 75 m² d'espace de travail partagé • Prix à partir de 4699 Les prix indiqués dans cette liste sont indicatifs et dépendent de la disponibilité. Toutes les images figurant sur cette liste représentent nos bureaux mais peuvent ne pas correspondre au centre en question. En savoir plus Pour plus d’informations, merci de nous contacter via WhatsApp . +34644629550",693c3ad38914daae519a563e,10,False,True,2026-02-16T22:19:07.000Z,Regus,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/71/71356cf8-f24d-4706-a5a5-2889ce6174dc,4699,tayara,"Espace de bureau privé pour 5 personnes à Tunis, Av. De La Monnaie "
tunis,tunis,"Accédez à un espace de travail lumineux et inspirant conçu pour permettre aux équipes de cinq de travailler de manière performante. En travaillant dans notre espace Berges du Lac, vous profiterez de la superbe vue sur le lac de Tunis. Situé dans le nouveau pôle commercial de la ville, à 10 minutes de l'aéroport, l'endroit est idéal pour profiter des opportunités offertes par la capitale tunisienne et les villes alentour. Vous pourrez stationner sur site pour aller prendre un café au bar, consulter votre messagerie dans le confortable salon et accomplir vos tâches dans un environnement élégant. Ensuite, que diriez-vous d'une petite séance culturelle sur le site archéologique de Carthage, à seulement 15 minutes Domiciliez votre entreprise dans un bureau privatif de 30 m² à TUNIS, Carthage , qui convient à 5 employés. Du mobilier au Wi-Fi haut débit, tout est pris en charge dans nos grands bureaux entièrement équipés, afin que vous puissiez vous consacrer entièrement à votre activité. Louez un bureau flexible pour une seule journée ou plus longtemps, et personnalisez votre espace selon les besoins spécifiques de votre entreprise. Les bureaux privés Regus comprennent les éléments suivants : • Accès à notre réseau mondial comptant des milliers de sites dans le monde entier • Équipe d'assistance et de réception très expérimentée • Technologies et Wi-Fi de qualité et sécurisés • Imprimantes et accès à une aide administrative • Nettoyage, services et sécurité • Espace de bureau disponible à l'heure, à la journée ou au mois • Événements de réseautage et de la communauté périodiques • Gestion du compte et des réservations simplifiée via notre appli • Agencements personnalisables et flexibles • Agrandissez ou changez d'emplacement en fonction de vos besoins • Mobilier ergonomique de haute qualité • Accès supplémentaire à 75 m² d'espace de travail partagé • Prix à partir de 3379 Les prix indiqués dans cette liste sont indicatifs et dépendent de la disponibilité. Toutes les images figurant sur cette liste représentent nos bureaux mais peuvent ne pas correspondre au centre en question. En savoir plus Pour plus d’informations, merci de nous contacter via WhatsApp . +34644629550",693c4122cd04d08be749e528,10,False,True,2026-02-16T22:19:07.000Z,Regus,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/dc/dcbb3cc4-e535-47f0-9ac9-0341e5e79005,3379,tayara,"Espace de bureau privé pour 5 personnes à TUNIS, Carthage  "
tunis,tunis,"Donnez toutes les chances de réussite à votre entreprise avec un bureau professionnel juste pour vous. Créez et personnalisez un environnement aux proportions idéales pour une équipe de 1 employés, avec 8 m² de bureaux privés à Tunis, Le Golfe de Tunis . Nos bureaux de petite taille sont entièrement équipés, accessibles 24 heures sur 24, 7 jours sur 7, et incluent un accès illimité en coworking à notre club d'affaires pendant les heures ouvrables. Et parce que nous sommes parfaitement conscients des différents revirements qu'une entreprise peut subir, nous ne vous demanderons jamais un engagement à vie : nous proposons des conditions contractuelles flexibles et adaptées à vos besoins spécifiques. Lancez votre entreprise au Kram, une ville et une commune du gouvernorat de Tunis en Tunisie et profitez d’un espace de bureau ultramoderne. Prospérez parmi d’autres avant-gardistes dans l’IQ Smart Building & Business Center, un bâtiment qui rassemble des bureaux, un hôtel d’affaires et une foule de services complémentaires en un seul endroit. Rendez-vous facilement à votre espace de travail à l’aide d’Av. Mohamed 5, l’une des avenues les plus importantes de Tunis, la capitale de la Tunisie. Accueillez les clients en visite à l’aéroport international de Tunis-Carthage, qui se trouve à environ 12 km en voiture. Que vous recherchiez une base à long ou à court terme, nous avons ce qu’il vous faut. Profitez d’un travail productif sur trois étages dans ce bâtiment innovant et lumineux. Faites du brainstorming dans des espaces de coworking flexibles ou présentez des idées mémorables à vos clients dans des salles de réunion confortables. Laissez-vous inspirer par la ruche d’activités qui vous entoure et faites une pause après les grandes réunions sur le toit-terrasse - parfait pour déjeuner ou discuter avec des collègues. Faites confiance à notre équipe amicale, qui est à votre disposition et se fera un plaisir de vous aider si vous en avez besoin tout au long de la journée de travail. Divertissez vos clients après le travail en mangeant un morceau ou visitez l’un des centres commerciaux ou un parc de la ville à proximité lorsque vous voulez vous changer les idées. Les bureaux privatifs Spaces incluent : • L'accès à notre réseau de milliers de sites à travers le monde • Une équipe de réception et d'assistance chaleureuse • L'accès à une technologie de pointe et au Wi-Fi sécurisé • Des imprimantes et une assistance administrative • Des services de nettoyage, d'entretien et de sécurité • La possibilité de réserver un bureau à l'heure, à la journée ou au mois • De fréquents évènements communautaires et de réseau • Une application spécifique qui simplifie la réservation et la gestion de votre compte • Des configurations flexibles et personnalisables • Des eSpaces de travail qui évoluent en même temps que votre entreprise • Du mobilier ergonomique de grande qualité • L'accès à 50 m² d'espace de travail partagé supplémentaire • Des tarifs à partir de 1219 Nos office spaces sont parfaits pour la productivité et l'innovation. Que vous cherchiez un workspace, un espace de bureau, ou un business centre, Spaces a la solution idéale. Les prix indiqués dans cette liste sont indicatifs et dépendent de la disponibilité. Toutes les images qui figurent ici proviennent de sites Spaces, mais ne correspondent pas nécessairement à celui dont nous parlons ici. Nous contacter Pour plus d’informations, merci de nous contacter via WhatsApp . +34644629550",693c402b8914daae519a5947,10,False,True,2026-02-16T22:19:07.000Z,Regus,2,60be84be50ab95b45b08a09f,https://cdn.tayara.tn/21/21543fbe-604b-4cb9-8550-c50b821cc61e,1219,tayara,"Un bureau au design remarquable pour 1 personnes à Tunis, Le Golfe de Tunis "
