DATE_TRIM;ANNEE;TRIMESTRE;GOUVERNORAT;REGION_INS;CODE_GOV;PRIX_M2_MEDIAN;PRIX_M2_APPT;PRIX_M2_MAISON;PRIX_M2_TERRAIN;IPIM_NATIONAL;IPIM_REGIONAL;GAP_INTERPOLE;PRIX_M2_MEDIAN_LAG1;PRIX_M2_MEDIAN_LAG4;PRIX_M2_MEDIAN_VAR_QOQ;PRIX_M2_MEDIAN_VAR_YOY;IPIM_REGIONAL_LAG1;IPIM_REGIONAL_LAG4;IPIM_REGIONAL_VAR_QOQ;IPIM_REGIONAL_VAR_YOY;TAUX_DIRECTEUR_BCT;IPC_MATERIAUX_CONSTR;TAUX_INFLATION;POPULATION;LITTORAL;TOURISTIQUE;SOURCE_PRIX;BVMT_CLOTURE_MOY;BVMT_VOLUME_TOT;BVMT_CAPITAUX_TOT;BVMT_NB_SEANCES
2018-10-01;2018;4;Ariana;Grand Tunis;12;1729.0;1867.0;1504.0;1072.0;145.6;206.75;0;1669.0;1613.0;0.0359;0.0719;201.5;180.77;0.0261;0.1437;6.75;7.2;7.3;484471;0;0;marche_estime;;;;
2019-01-01;2019;1;Ariana;Grand Tunis;12;1746.0;1886.0;1519.0;1083.0;148.4;210.73;0;1729.0;1676.0;0.0098;0.0418;206.75;184.88;0.0193;0.1398;7.75;6.4;6.7;484471;0;0;marche_estime;;;;
2019-04-01;2019;2;Ariana;Grand Tunis;12;1793.0;1936.0;1560.0;1112.0;156.4;222.09;0;1746.0;1683.0;0.0269;0.0654;210.73;196.95;0.0539;0.1276;7.75;6.4;6.7;484471;0;0;marche_estime;;;;
2019-07-01;2019;3;Ariana;Grand Tunis;12;1834.0;1981.0;1596.0;1137.0;159.8;226.92;0;1793.0;1669.0;0.0229;0.0989;222.09;201.5;0.0217;0.1262;7.75;6.4;6.7;484471;0;0;marche_estime;;;;
2019-10-01;2019;4;Ariana;Grand Tunis;12;1852.0;2000.0;1611.0;1148.0;162.1;230.18;0;1834.0;1729.0;0.0098;0.0711;226.92;206.75;0.0144;0.1133;7.75;6.4;6.7;484471;0;0;marche_estime;;;;
2020-01-01;2020;1;Ariana;Grand Tunis;12;1929.0;2083.0;1678.0;1196.0;164.7;233.87;0;1852.0;1746.0;0.0416;0.1048;230.18;210.73;0.016;0.1098;6.25;5.8;5.6;484471;0;0;marche_estime;;;;
2020-04-01;2020;2;Ariana;Grand Tunis;12;1969.0;2127.0;1713.0;1221.0;166.7;236.71;0;1929.0;1793.0;0.0207;0.0982;233.87;222.09;0.0121;0.0658;6.25;5.8;5.6;484471;0;0;marche_estime;;;;
2020-07-01;2020;3;Ariana;Grand Tunis;12;2007.0;2168.0;1746.0;1244.0;176.7;250.91;0;1969.0;1834.0;0.0193;0.0943;236.71;226.92;0.06;0.1057;6.25;5.8;5.6;484471;0;0;marche_estime;;;;
2020-10-01;2020;4;Ariana;Grand Tunis;12;2025.0;2187.0;1762.0;1256.0;183.9;261.14;0;2007.0;1852.0;0.009;0.0934;250.91;230.18;0.0408;0.1345;6.25;5.8;5.6;484471;0;0;marche_estime;;;;
2021-01-01;2021;1;Ariana;Grand Tunis;12;2086.0;2253.0;1815.0;1293.0;196.8;279.46;0;2025.0;1929.0;0.0301;0.0814;261.14;233.87;0.0702;0.1949;6.25;9.1;6.0;484471;0;0;marche_estime;;;;
2021-04-01;2021;2;Ariana;Grand Tunis;12;2134.0;2305.0;1857.0;1323.0;209.8;297.92;0;2086.0;1969.0;0.023;0.0838;279.46;236.71;0.0661;0.2586;6.25;9.1;6.0;484471;0;0;marche_estime;;;;
2021-07-01;2021;3;Ariana;Grand Tunis;12;2124.0;2294.0;1848.0;1317.0;202.1;286.98;0;2134.0;2007.0;-0.0047;0.0583;297.92;250.91;-0.0367;0.1438;6.25;9.1;6.0;484471;0;0;marche_estime;;;;
2021-10-01;2021;4;Ariana;Grand Tunis;12;2196.0;2372.0;1911.0;1362.0;209.0;296.78;0;2124.0;2025.0;0.0339;0.0844;286.98;261.14;0.0341;0.1365;6.25;9.1;6.0;484471;0;0;marche_estime;;;;
2022-01-01;2022;1;Ariana;Grand Tunis;12;2255.0;2435.0;1962.0;1398.0;216.94444444444446;308.0611111111111;1;2196.0;2086.0;0.0269;0.081;296.78;279.46;0.038;0.1023;7.25;14.3;8.3;484471;0;0;marche_estime;;;;
2022-04-01;2022;2;Ariana;Grand Tunis;12;2312.0;2497.0;2011.0;1433.0;224.88888888888889;319.3422222222222;1;2255.0;2134.0;0.0253;0.0834;308.0611111111111;297.92;0.0366;0.0719;7.25;14.3;8.3;484471;0;0;marche_estime;;;;
2022-07-01;2022;3;Ariana;Grand Tunis;12;2361.0;2550.0;2054.0;1464.0;232.83333333333334;330.62333333333333;1;2312.0;2124.0;0.0212;0.1116;319.3422222222222;286.98;0.0353;0.1521;7.25;14.3;8.3;484471;0;0;marche_estime;;;;
2022-10-01;2022;4;Ariana;Grand Tunis;12;2391.0;2582.0;2080.0;1482.0;240.77777777777777;341.90444444444444;1;2361.0;2196.0;0.0127;0.0888;330.62333333333333;296.78;0.0341;0.152;7.25;14.3;8.3;484471;0;0;marche_estime;;;;
2023-01-01;2023;1;Ariana;Grand Tunis;12;2420.0;2614.0;2105.0;1500.0;248.72222222222223;353.18555555555554;1;2391.0;2255.0;0.0121;0.0732;341.90444444444444;308.0611111111111;0.033;0.1465;8.0;11.2;9.3;484471;0;0;marche_estime;;;;
2023-04-01;2023;2;Ariana;Grand Tunis;12;2491.0;2690.0;2167.0;1544.0;256.6666666666667;364.46666666666664;1;2420.0;2312.0;0.0293;0.0774;353.18555555555554;319.3422222222222;0.0319;0.1413;8.0;11.2;9.3;484471;0;0;marche_estime;;;;
2023-07-01;2023;3;Ariana;Grand Tunis;12;2532.0;2735.0;2203.0;1570.0;264.6111111111111;375.74777777777774;1;2491.0;2361.0;0.0165;0.0724;364.46666666666664;330.62333333333333;0.031;0.1365;8.0;11.2;9.3;484471;0;0;marche_estime;;;;
2023-10-01;2023;4;Ariana;Grand Tunis;12;2563.0;2768.0;2230.0;1589.0;272.55555555555554;387.0288888888889;1;2532.0;2391.0;0.0122;0.0719;375.74777777777774;341.90444444444444;0.03;0.132;8.0;11.2;9.3;484471;0;0;marche_estime;;;;
2024-01-01;2024;1;Ariana;Grand Tunis;12;2636.0;2847.0;2293.0;1634.0;280.5;398.31;0;2563.0;2420.0;0.0285;0.0893;387.0288888888889;353.18555555555554;0.0291;0.1278;7.5;8.1;7.0;484471;0;0;marche_estime;;;;
2024-04-01;2024;2;Ariana;Grand Tunis;12;2711.0;2928.0;2359.0;1681.0;287.3;407.97;0;2636.0;2491.0;0.0285;0.0883;398.31;364.46666666666664;0.0243;0.1194;7.5;8.1;7.0;484471;0;0;marche_estime;;;;
2024-07-01;2024;3;Ariana;Grand Tunis;12;2717.0;2934.0;2364.0;1685.0;293.1;416.2;0;2711.0;2532.0;0.0022;0.0731;407.97;375.74777777777774;0.0202;0.1077;7.5;8.1;7.0;484471;0;0;marche_estime;;;;
2024-10-01;2024;4;Ariana;Grand Tunis;12;2794.0;3018.0;2431.0;1732.0;299.8;425.72;0;2717.0;2563.0;0.0283;0.0901;416.2;387.0288888888889;0.0229;0.1;7.5;8.1;7.0;484471;0;0;marche_estime;;;;
2025-01-01;2025;1;Ariana;Grand Tunis;12;2827.0;3053.0;2459.0;1753.0;308.2;437.64;0;2794.0;2636.0;0.0118;0.0725;425.72;398.31;0.028;0.0987;7.0;6.5;5.8;484471;0;0;marche_estime;;;;
2025-04-01;2025;2;Ariana;Grand Tunis;12;2871.0;3101.0;2498.0;1780.0;315.0;447.3;0;2827.0;2711.0;0.0156;0.059;437.64;407.97;0.0221;0.0964;7.0;6.5;5.8;484471;0;0;marche_estime;;;;
2025-07-01;2025;3;Ariana;Grand Tunis;12;;;;;243.33333333333331;447.3;0;2871.0;2717.0;;;447.3;416.2;0.0;0.0747;;;;484471;0;0;;;;;
2025-10-01;2025;4;Ariana;Grand Tunis;12;;;;;171.66666666666666;447.3;0;;2794.0;;;447.3;425.72;0.0;0.0507;;;;484471;0;0;;;;;
2015-01-01;2015;1;Ben Arous;Grand Tunis;13;1168.0;1261.0;1016.0;724.0;100.0;142.0;0;;;;;;;;;4.25;3.2;4.9;705105;1;0;marche_estime;;;;
2015-04-01;2015;2;Ben Arous;Grand Tunis;13;1236.0;1335.0;1075.0;766.0;103.2;146.54;0;1168.0;;0.0582;;142.0;;0.032;;4.25;3.2;4.9;705105;1;0;marche_estime;;;;
2015-07-01;2015;3;Ben Arous;Grand Tunis;13;1247.0;1347.0;1085.0;773.0;105.1;149.24;0;1236.0;;0.0089;;146.54;;0.0184;;4.25;3.2;4.9;705105;1;0;marche_estime;;;;
2015-10-01;2015;4;Ben Arous;Grand Tunis;13;1275.0;1377.0;1109.0;790.0;107.8;153.08;0;1247.0;;0.0225;;149.24;;0.0257;;4.25;3.2;4.9;705105;1;0;marche_estime;;;;
2016-01-01;2016;1;Ben Arous;Grand Tunis;13;1271.0;1373.0;1106.0;788.0;109.4;155.35;0;1275.0;1168.0;-0.0031;0.0882;153.08;142.0;0.0148;0.094;4.25;3.8;3.7;705105;1;0;marche_estime;;;;
2016-04-01;2016;2;Ben Arous;Grand Tunis;13;1313.0;1418.0;1142.0;814.0;112.6;159.89;0;1271.0;1236.0;0.033;0.0623;155.35;146.54;0.0292;0.0911;4.25;3.8;3.7;705105;1;0;marche_estime;;;;
2016-07-01;2016;3;Ben Arous;Grand Tunis;13;1319.0;1425.0;1148.0;818.0;114.3;162.31;0;1313.0;1247.0;0.0046;0.0577;159.89;149.24;0.0151;0.0876;4.25;3.8;3.7;705105;1;0;marche_estime;;;;
2016-10-01;2016;4;Ben Arous;Grand Tunis;13;1358.0;1467.0;1181.0;842.0;116.9;166.0;0;1319.0;1275.0;0.0296;0.0651;162.31;153.08;0.0227;0.0844;4.25;3.8;3.7;705105;1;0;marche_estime;;;;
2017-01-01;2017;1;Ben Arous;Grand Tunis;13;1387.0;1498.0;1207.0;860.0;118.7;168.55;0;1358.0;1271.0;0.0214;0.0913;166.0;155.35;0.0154;0.085;5.0;5.1;5.3;705105;1;0;marche_estime;;;;
2017-04-01;2017;2;Ben Arous;Grand Tunis;13;1403.0;1515.0;1221.0;870.0;121.5;172.53;0;1387.0;1313.0;0.0115;0.0685;168.55;159.89;0.0236;0.0791;5.0;5.1;5.3;705105;1;0;marche_estime;;;;
2017-07-01;2017;3;Ben Arous;Grand Tunis;13;1445.0;1561.0;1257.0;896.0;124.1;176.22;0;1403.0;1319.0;0.0299;0.0955;172.53;162.31;0.0214;0.0857;5.0;5.1;5.3;705105;1;0;marche_estime;;;;
2017-10-01;2017;4;Ben Arous;Grand Tunis;13;1496.0;1616.0;1302.0;928.0;127.3;180.77;0;1445.0;1358.0;0.0353;0.1016;176.22;166.0;0.0258;0.089;5.0;5.1;5.3;705105;1;0;marche_estime;;;;
2018-01-01;2018;1;Ben Arous;Grand Tunis;13;1505.0;1625.0;1309.0;933.0;130.2;184.88;0;1496.0;1387.0;0.006;0.0851;180.77;168.55;0.0227;0.0969;6.75;7.2;7.3;705105;1;0;marche_estime;;;;
2018-04-01;2018;2;Ben Arous;Grand Tunis;13;1531.0;1653.0;1332.0;949.0;138.7;196.95;0;1505.0;1403.0;0.0173;0.0912;184.88;172.53;0.0653;0.1415;6.75;7.2;7.3;705105;1;0;marche_estime;;;;
2018-07-01;2018;3;Ben Arous;Grand Tunis;13;1579.0;1705.0;1374.0;979.0;141.9;201.5;0;1531.0;1445.0;0.0314;0.0927;196.95;176.22;0.0231;0.1435;6.75;7.2;7.3;705105;1;0;marche_estime;;;;
2018-10-01;2018;4;Ben Arous;Grand Tunis;13;1594.0;1722.0;1387.0;988.0;145.6;206.75;0;1579.0;1496.0;0.0095;0.0655;201.5;180.77;0.0261;0.1437;6.75;7.2;7.3;705105;1;0;marche_estime;;;;
2019-01-01;2019;1;Ben Arous;Grand Tunis;13;1632.0;1763.0;1420.0;1012.0;148.4;210.73;0;1594.0;1505.0;0.0238;0.0844;206.75;184.88;0.0193;0.1398;7.75;6.4;6.7;705105;1;0;marche_estime;;;;
2019-04-01;2019;2;Ben Arous;Grand Tunis;13;1647.0;1779.0;1433.0;1021.0;156.4;222.09;0;1632.0;1531.0;0.0092;0.0758;210.73;196.95;0.0539;0.1276;7.75;6.4;6.7;705105;1;0;marche_estime;;;;
2019-07-01;2019;3;Ben Arous;Grand Tunis;13;1678.0;1812.0;1460.0;1040.0;159.8;226.92;0;1647.0;1579.0;0.0188;0.0627;222.09;201.5;0.0217;0.1262;7.75;6.4;6.7;705105;1;0;marche_estime;;;;
2019-10-01;2019;4;Ben Arous;Grand Tunis;13;1725.0;1863.0;1501.0;1070.0;162.1;230.18;0;1678.0;1594.0;0.028;0.0822;226.92;206.75;0.0144;0.1133;7.75;6.4;6.7;705105;1;0;marche_estime;;;;
2020-01-01;2020;1;Ben Arous;Grand Tunis;13;1772.0;1914.0;1542.0;1099.0;164.7;233.87;0;1725.0;1632.0;0.0272;0.0858;230.18;210.73;0.016;0.1098;6.25;5.8;5.6;705105;1;0;marche_estime;;;;
2020-04-01;2020;2;Ben Arous;Grand Tunis;13;1778.0;1920.0;1547.0;1102.0;166.7;236.71;0;1772.0;1647.0;0.0034;0.0795;233.87;222.09;0.0121;0.0658;6.25;5.8;5.6;705105;1;0;marche_estime;;;;
2020-07-01;2020;3;Ben Arous;Grand Tunis;13;1817.0;1962.0;1581.0;1127.0;176.7;250.91;0;1778.0;1678.0;0.0219;0.0828;236.71;226.92;0.06;0.1057;6.25;5.8;5.6;705105;1;0;marche_estime;;;;
2020-10-01;2020;4;Ben Arous;Grand Tunis;13;1861.0;2010.0;1619.0;1154.0;183.9;261.14;0;1817.0;1725.0;0.0242;0.0788;250.91;230.18;0.0408;0.1345;6.25;5.8;5.6;705105;1;0;marche_estime;;;;
2021-01-01;2021;1;Ben Arous;Grand Tunis;13;1940.0;2095.0;1688.0;1203.0;196.8;279.46;0;1861.0;1772.0;0.0425;0.0948;261.14;233.87;0.0702;0.1949;6.25;9.1;6.0;705105;1;0;marche_estime;;;;
2021-04-01;2021;2;Ben Arous;Grand Tunis;13;1972.0;2130.0;1716.0;1223.0;209.8;297.92;0;1940.0;1778.0;0.0165;0.1091;279.46;236.71;0.0661;0.2586;6.25;9.1;6.0;705105;1;0;marche_estime;;;;
2021-07-01;2021;3;Ben Arous;Grand Tunis;13;1982.0;2141.0;1724.0;1229.0;202.1;286.98;0;1972.0;1817.0;0.0051;0.0908;297.92;250.91;-0.0367;0.1438;6.25;9.1;6.0;705105;1;0;marche_estime;;;;
2021-10-01;2021;4;Ben Arous;Grand Tunis;13;2049.0;2213.0;1783.0;1270.0;209.0;296.78;0;1982.0;1861.0;0.0338;0.101;286.98;261.14;0.0341;0.1365;6.25;9.1;6.0;705105;1;0;marche_estime;;;;
2022-01-01;2022;1;Ben Arous;Grand Tunis;13;2046.0;2210.0;1780.0;1269.0;216.94444444444446;308.0611111111111;1;2049.0;1940.0;-0.0015;0.0546;296.78;279.46;0.038;0.1023;7.25;14.3;8.3;705105;1;0;marche_estime;;;;
2022-04-01;2022;2;Ben Arous;Grand Tunis;13;2104.0;2272.0;1830.0;1304.0;224.88888888888889;319.3422222222222;1;2046.0;1972.0;0.0283;0.0669;308.0611111111111;297.92;0.0366;0.0719;7.25;14.3;8.3;705105;1;0;marche_estime;;;;
2022-07-01;2022;3;Ben Arous;Grand Tunis;13;2155.0;2327.0;1875.0;1336.0;232.83333333333334;330.62333333333333;1;2104.0;1982.0;0.0242;0.0873;319.3422222222222;286.98;0.0353;0.1521;7.25;14.3;8.3;705105;1;0;marche_estime;;;;
2022-10-01;2022;4;Ben Arous;Grand Tunis;13;2210.0;2387.0;1923.0;1370.0;240.77777777777777;341.90444444444444;1;2155.0;2049.0;0.0255;0.0786;330.62333333333333;296.78;0.0341;0.152;7.25;14.3;8.3;705105;1;0;marche_estime;;;;
2023-01-01;2023;1;Ben Arous;Grand Tunis;13;2277.0;2459.0;1981.0;1412.0;248.72222222222223;353.18555555555554;1;2210.0;2046.0;0.0303;0.1129;341.90444444444444;308.0611111111111;0.033;0.1465;8.0;11.2;9.3;705105;1;0;marche_estime;;;;
2023-04-01;2023;2;Ben Arous;Grand Tunis;13;2291.0;2474.0;1993.0;1420.0;256.6666666666667;364.46666666666664;1;2277.0;2104.0;0.0061;0.0889;353.18555555555554;319.3422222222222;0.0319;0.1413;8.0;11.2;9.3;705105;1;0;marche_estime;;;;
2023-07-01;2023;3;Ben Arous;Grand Tunis;13;2346.0;2534.0;2041.0;1455.0;264.6111111111111;375.74777777777774;1;2291.0;2155.0;0.024;0.0886;364.46666666666664;330.62333333333333;0.031;0.1365;8.0;11.2;9.3;705105;1;0;marche_estime;;;;
2023-10-01;2023;4;Ben Arous;Grand Tunis;13;2369.0;2559.0;2061.0;1469.0;272.55555555555554;387.0288888888889;1;2346.0;2210.0;0.0098;0.0719;375.74777777777774;341.90444444444444;0.03;0.132;8.0;11.2;9.3;705105;1;0;marche_estime;;;;
2024-01-01;2024;1;Ben Arous;Grand Tunis;13;2427.0;2621.0;2111.0;1505.0;280.5;398.31;0;2369.0;2277.0;0.0245;0.0659;387.0288888888889;353.18555555555554;0.0291;0.1278;7.5;8.1;7.0;705105;1;0;marche_estime;;;;
2024-04-01;2024;2;Ben Arous;Grand Tunis;13;2464.0;2661.0;2144.0;1528.0;287.3;407.97;0;2427.0;2291.0;0.0152;0.0755;398.31;364.46666666666664;0.0243;0.1194;7.5;8.1;7.0;705105;1;0;marche_estime;;;;
2024-07-01;2024;3;Ben Arous;Grand Tunis;13;2504.0;2704.0;2178.0;1552.0;293.1;416.2;0;2464.0;2346.0;0.0162;0.0673;407.97;375.74777777777774;0.0202;0.1077;7.5;8.1;7.0;705105;1;0;marche_estime;;;;
2024-10-01;2024;4;Ben Arous;Grand Tunis;13;2552.0;2756.0;2220.0;1582.0;299.8;425.72;0;2504.0;2369.0;0.0192;0.0772;416.2;387.0288888888889;0.0229;0.1;7.5;8.1;7.0;705105;1;0;marche_estime;;;;
2025-01-01;2025;1;Ben Arous;Grand Tunis;13;2610.0;2819.0;2271.0;1618.0;308.2;437.64;0;2552.0;2427.0;0.0227;0.0754;425.72;398.31;0.028;0.0987;7.0;6.5;5.8;705105;1;0;marche_estime;;;;
2025-04-01;2025;2;Ben Arous;Grand Tunis;13;2642.0;2853.0;2299.0;1638.0;315.0;447.3;0;2610.0;2464.0;0.0123;0.0722;437.64;407.97;0.0221;0.0964;7.0;6.5;5.8;705105;1;0;marche_estime;;;;
2025-07-01;2025;3;Ben Arous;Grand Tunis;13;;;;;243.33333333333331;447.3;0;2642.0;2504.0;;;447.3;416.2;0.0;0.0747;;;;705105;1;0;;;;;
2025-10-01;2025;4;Ben Arous;Grand Tunis;13;;;;;171.66666666666666;447.3;0;;2552.0;;;447.3;425.72;0.0;0.0507;;;;705105;1;0;;;;;
2015-01-01;2015;1;Bizerte;Zaghouan/Bizerte/NO;23;971.0;1049.0;845.0;602.0;100.0;52.0;0;;;;;;;;;4.25;3.2;4.9;568278;1;1;marche_estime;;;;
2015-04-01;2015;2;Bizerte;Zaghouan/Bizerte/NO;23;999.0;1079.0;869.0;619.0;103.2;53.66;0;971.0;;0.0288;;52.0;;0.0319;;4.25;3.2;4.9;568278;1;1;marche_estime;;;;
2015-07-01;2015;3;Bizerte;Zaghouan/Bizerte/NO;23;1004.0;1084.0;873.0;622.0;105.1;54.65;0;999.0;;0.005;;53.66;;0.0184;;4.25;3.2;4.9;568278;1;1;marche_estime;;;;
2015-10-01;2015;4;Bizerte;Zaghouan/Bizerte/NO;23;1019.0;1101.0;887.0;632.0;107.8;56.06;0;1004.0;;0.0149;;54.65;;0.0258;;4.25;3.2;4.9;568278;1;1;marche_estime;;;;
2016-01-01;2016;1;Bizerte;Zaghouan/Bizerte/NO;23;1039.0;1122.0;904.0;644.0;109.4;56.89;0;1019.0;971.0;0.0196;0.07;56.06;52.0;0.0148;0.094;4.25;3.8;3.7;568278;1;1;marche_estime;;;;
2016-04-01;2016;2;Bizerte;Zaghouan/Bizerte/NO;23;1044.0;1128.0;908.0;647.0;112.6;58.55;0;1039.0;999.0;0.0048;0.045;56.89;53.66;0.0292;0.0911;4.25;3.8;3.7;568278;1;1;marche_estime;;;;
2016-07-01;2016;3;Bizerte;Zaghouan/Bizerte/NO;23;1049.0;1133.0;913.0;650.0;114.3;59.44;0;1044.0;1004.0;0.0048;0.0448;58.55;54.65;0.0152;0.0876;4.25;3.8;3.7;568278;1;1;marche_estime;;;;
2016-10-01;2016;4;Bizerte;Zaghouan/Bizerte/NO;23;1058.0;1143.0;920.0;656.0;116.9;60.79;0;1049.0;1019.0;0.0086;0.0383;59.44;56.06;0.0227;0.0844;4.25;3.8;3.7;568278;1;1;marche_estime;;;;
2017-01-01;2017;1;Bizerte;Zaghouan/Bizerte/NO;23;1076.0;1162.0;936.0;667.0;118.7;61.72;0;1058.0;1039.0;0.017;0.0356;60.79;56.89;0.0153;0.0849;5.0;5.1;5.3;568278;1;1;marche_estime;;;;
2017-04-01;2017;2;Bizerte;Zaghouan/Bizerte/NO;23;1075.0;1161.0;935.0;666.0;121.5;63.18;0;1076.0;1044.0;-0.0009;0.0297;61.72;58.55;0.0237;0.0791;5.0;5.1;5.3;568278;1;1;marche_estime;;;;
2017-07-01;2017;3;Bizerte;Zaghouan/Bizerte/NO;23;1119.0;1209.0;974.0;694.0;124.1;64.53;0;1075.0;1049.0;0.0409;0.0667;63.18;59.44;0.0214;0.0856;5.0;5.1;5.3;568278;1;1;marche_estime;;;;
2017-10-01;2017;4;Bizerte;Zaghouan/Bizerte/NO;23;1100.0;1188.0;957.0;682.0;127.3;66.2;0;1119.0;1058.0;-0.017;0.0397;64.53;60.79;0.0259;0.089;5.0;5.1;5.3;568278;1;1;marche_estime;;;;
2018-01-01;2018;1;Bizerte;Zaghouan/Bizerte/NO;23;1145.0;1237.0;996.0;710.0;130.2;67.7;0;1100.0;1076.0;0.0409;0.0641;66.2;61.72;0.0227;0.0969;6.75;7.2;7.3;568278;1;1;marche_estime;;;;
2018-04-01;2018;2;Bizerte;Zaghouan/Bizerte/NO;23;1163.0;1256.0;1012.0;721.0;138.7;72.12;0;1145.0;1075.0;0.0157;0.0819;67.7;63.18;0.0653;0.1415;6.75;7.2;7.3;568278;1;1;marche_estime;;;;
2018-07-01;2018;3;Bizerte;Zaghouan/Bizerte/NO;23;1174.0;1268.0;1021.0;728.0;141.9;73.79;0;1163.0;1119.0;0.0095;0.0492;72.12;64.53;0.0232;0.1435;6.75;7.2;7.3;568278;1;1;marche_estime;;;;
2018-10-01;2018;4;Bizerte;Zaghouan/Bizerte/NO;23;1173.0;1267.0;1021.0;727.0;145.6;75.71;0;1174.0;1100.0;-0.0009;0.0664;73.79;66.2;0.026;0.1437;6.75;7.2;7.3;568278;1;1;marche_estime;;;;
2019-01-01;2019;1;Bizerte;Zaghouan/Bizerte/NO;23;1197.0;1293.0;1041.0;742.0;148.4;77.17;0;1173.0;1145.0;0.0205;0.0454;75.71;67.7;0.0193;0.1399;7.75;6.4;6.7;568278;1;1;marche_estime;;;;
